,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp
81,Chaman,97,PK,1613158370,36,30.9236,66.4512,2.19,54.86
82,Nanortalik,100,GL,1613158371,87,60.1432,-45.2371,7.49,32.94
83,Cherskiy,0,RU,1613158092,77,68.75,161.3,1.72,-27.65
84,Sawākin,17,SD,1613158374,74,19.1059,37.3321,4.27,77.52
85,Ishigaki,2,JP,1613158375,81,24.3448,124.1572,20.29,70.9
86,Tuktoyaktuk,75,CA,1613158376,71,69.4541,-133.0374,9.22,-0.4
87,Saldanha,0,ZA,1613158377,78,-33.0117,17.9442,12.66,69.8
88,Margate,46,GB,1613158379,60,51.3813,1.3862,5.01,30.0
89,Turbat,0,PK,1613158380,52,26.0023,63.044,1.03,59.27
90,Praia da Vitória,20,PT,1613158381,67,38.7333,-27.0667,15.26,60.8
91,Ilulissat,20,GL,1613158382,66,69.2167,-51.1,3.44,3.2
92,Zacualtipán,87,MX,1613158383,95,20.65,-98.6,5.77,53.06
93,Sakakah,0,SA,1613158385,39,29.9697,40.2064,10.36,64.4
94,Dunda,96,TZ,1613158386,92,-8.1167,34.25,3.49,64.6
95,Tabuk,92,PH,1613158387,84,17.4189,121.4443,4.12,69.13
96,Laas,0,IT,1613158388,67,46.6166,10.7002,4.61,32.0
97,Souillac,40,MU,1613158389,83,-20.5167,57.5167,11.5,77.0
98,Faanui,19,PF,1613158283,74,-16.4833,-151.75,12.8,81.7
99,New Norfolk,47,AU,1613158392,71,-42.7826,147.0587,1.99,57.0
100,Saint George,40,US,1613158362,44,37.1041,-113.5841,4.61,61.0
101,Norman Wells,1,CA,1613158394,77,65.282,-126.8329,5.75,-9.4
102,Kununurra,83,AU,1613158396,100,-15.7667,128.7333,3.49,80.6
103,Santa Lucía,40,ES,1613158397,77,27.9117,-15.5407,18.41,66.2
104,Moyo,39,UG,1613158398,30,3.6609,31.7247,3.09,80.33
105,Fukuechō,97,JP,1613158399,63,32.6881,128.8419,8.61,58.5
106,Rehoboth,100,NA,1613158400,86,-23.3167,17.0833,8.81,65.14
107,Leningradskiy,96,RU,1613158402,82,69.3833,178.4167,8.81,-21.1
108,Mar del Plata,90,AR,1613158369,94,-38.0023,-57.5575,14.97,71.01
109,Coahuayana Viejo,40,MX,1613158404,60,18.7333,-103.6833,8.14,71.6
110,Malye Derbety,100,RU,1613158405,87,47.9547,44.6808,12.64,40.78
111,Gigmoto,55,PH,1613158407,87,13.7796,124.39,8.63,77.63
